ID,name,normalized_name,price,approximation,weight_unit,weight,quantity_left,category,query_string_ID,market_ID,created_at,updated_at
408954,Opavia Zlaté Club sušienky s maslovou príchuťou 140 g,opavia zlate club susienky s maslovou prichutou 140 g,1.39,0,GRAMS,140.0,23,NEURČENÁ,66,3,2024-05-02 19:01:15,2024-05-02 19:01:29
408955,Opavia Zlaté Esíčka sušienky so škoricou a kakaom 220 g,opavia zlate esicka susienky so skoricou a kakaom 220 g,1.49,0,GRAMS,220.0,22,NEURČENÁ,66,3,2024-05-02 19:01:15,2024-05-02 19:01:29
408956,Opavia Zlaté Koka sušienky s kokosom s kakaom 180 g,opavia zlate koka susienky s kokosom s kakaom 180 g,1.79,0,GRAMS,180.0,8,NEURČENÁ,66,3,2024-05-02 19:01:15,2024-05-02 19:01:29
408957,Opavia Zlaté Polomáčané horké sušienky 100 g,opavia zlate polomacane horke susienky 100 g,0.85,0,GRAMS,100.0,44,NEURČENÁ,66,3,2024-05-02 19:01:15,2024-05-02 19:01:29
408958,Opavia Zlaté Polomáčané sušienky mliečne 100 g,opavia zlate polomacane susienky mliecne 100 g,0.85,0,GRAMS,100.0,28,NEURČENÁ,66,3,2024-05-02 19:01:15,2024-05-02 19:01:29
408959,Opavia Zlaté Spekulky škoricové sušienky 160 g,opavia zlate spekulky skoricove susienky 160 g,1.79,0,GRAMS,160.0,19,NEURČENÁ,66,3,2024-05-02 19:01:15,2024-05-02 19:01:29
408960,Oreo Choco Brownie sušienky s kakaovou náplňou 154 g,oreo choco brownie susienky s kakaovou naplnou 154 g,2.19,0,GRAMS,154.0,43,NEURČENÁ,66,3,2024-05-02 19:01:15,2024-05-02 19:01:29
408961,Oreo Double Creme sušienky s dvojitou vanilkovou náplňou 157 g,oreo double creme susienky s dvojitou vanilkovou naplnou 157 g,2.19,0,GRAMS,157.0,18,NEURČENÁ,66,3,2024-05-02 19:01:15,2024-05-02 19:01:29
408962,Oreo Golden sušienky s náplňou s vanilkovou príchuťou 154 g,oreo golden susienky s naplnou s vanilkovou prichutou 154 g,2.19,0,GRAMS,154.0,25,NEURČENÁ,66,3,2024-05-02 19:01:15,2024-05-02 19:01:29
408963,Oreo Golden sušienky s náplňou s vanilkovou príchuťou 44 g,oreo golden susienky s naplnou s vanilkovou prichutou 44 g,0.69,0,GRAMS,44.0,21,NEURČENÁ,66,3,2024-05-02 19:01:15,2024-05-02 19:01:29
408964,Oreo sušienky s vanilkovou náplňou 44 g,oreo susienky s vanilkovou naplnou 44 g,0.69,0,GRAMS,44.0,102,NEURČENÁ,66,3,2024-05-02 19:01:15,2024-05-02 19:01:29
